sample_ID,var,value,value_unit,extrapolated,source
S001,H2O2,2.4001462238772553,uM,FALSE,head
S002,H2O2,5.3664329045192645,uM,FALSE,head
S003,H2O2,19.947454570949898,uM,TRUE,head
